 row | section    | status          | detail
 138 | 5.7        | OK              | deterministic_results.experiment_selection.ocm.isolated_truth = 4/4; deterministic_results.experiment_selection.ocm.mean_experiments = 1.0; deterministic_results.experiment_selection.ocm.mean_cost = 0.4; deterministic_results.experiment_selection.ocm.mean_risk = 0.1; deterministic_results.experiment_selection.entropy.isolated_truth = 4/4; deterministic_results.experiment_selection.random.isolated_truth = 2/4; deterministic_results.experiment_selection.random.mean_experiments = 5.5; deterministic_results.experiment_selection.random.mean_risk = 0.78; deterministic_results.experiment_selection.greedy_confirm.isolated_truth = 0/4; deterministic_results.experiment_selection.greedy_confirm.mean_experiments = 10.0
 139 | 5.7        | OK              | deterministic_results.analysis.preregistered.false_positives = 0; deterministic_results.analysis.preregistered.null_datasets = 6; deterministic_results.analysis.preregistered.effect_datasets_significant = 6/6; deterministic_results.analysis.preregistered.analyses_tried_per_dataset = 1; deterministic_results.analysis.p_hack_hostile.mean_analyses_tried = 12.0; deterministic_results.analysis.p_hack_hostile.false_positives = 0
 140 | 5.7        | OK              | deterministic_results.proof.kernel_correct = 8; deterministic_results.proof.suite = 8; deterministic_results.proof.unparsable_cannot_check = CANNOT_CHECK; deterministic_results.proof.lean4 = CANNOT_CHECK; deterministic_results.proof.mistranslation_pass_with_dead_correspondence = true; deterministic_results.proof.hostile_fail_means_false_catches = 3; deterministic_results.proof.fail = 3
 141 | 5.7        | OK              | deterministic_results.retraction.conclusions = 3; count(deterministic_results.retraction.dead_after_retraction) = 1; deterministic_results.retraction.unrelated_intact = 2/2; deterministic_results.retraction.replacement_live_with_lineage = true; deterministic_results.retraction.old_stays_dead = true
 142 | 5.7        | OK              | deterministic_results.cross_field_transfer.full_mapping = TRANSFER; deterministic_results.cross_field_transfer.missing_report_binding = ADAPTER_REQUIRED; deterministic_results.cross_field_transfer.lookalike_verifier = REFUSE_TRANSFER; deterministic_results.cross_field_transfer.warrant_is_meet = true
 143 | 5.7        | OK              | deterministic_results.communication.committed = 3; deterministic_results.communication.downgraded = 1; deterministic_results.communication.refused = 2; deterministic_results.communication.n = 6
 144 | 5.7        | OK              | count(deterministic_results.external) = 5; deterministic_results.external.frontier_target = CANNOT_CHECK_FRONTIER_TARGET
 145 | 5.8        | OK              | deterministic_results.summary.diagnosis_correct = 7; deterministic_results.summary.minimum_class_correct = 7; deterministic_results.summary.false_jumps = 0; deterministic_results.summary.missed_jumps = 0; deterministic_results.summary.assurance_passed = 7; deterministic_results.summary.adopted = 7; deterministic_results.summary.target_restored = 7; deterministic_results.summary.preservation_kept = 7; deterministic_results.summary.prediction_realised = 7; deterministic_results.summary.rollback_exact = 7; deterministic_results.summary.broad_rewrites_offered = 2; deterministic_results.summary.broad_rewrites_refused = 2; deterministic_results.summary.control_no_fault.no_proposal_raised = true
 146 | 5.8        | OK              | deterministic_results.summary.parent_parameter_search_solves = 2; deterministic_results.summary.parent_reflection_retry_solves = 1; deterministic_results.parents[1].scenario = S1_router_fault; deterministic_results.parents[1].parameter_search.solves = true; deterministic_results.parents[1].reflection_retry.solves = true; deterministic_results.parents[5].scenario = S5_false_structural_alarm; deterministic_results.parents[5].parameter_search.solves = true; deterministic_results.parents[5].reflection_retry.solves = false
 147 | 5.8        | OK              | deterministic_results.scenarios[5].scenario = S5_false_structural_alarm; deterministic_results.scenarios[5].diagnosed = D2; deterministic_results.scenarios[5].broad_rewrite.assurance = true; deterministic_results.scenarios[5].broad_rewrite.minimum_sufficient = false; deterministic_results.scenarios[5].broad_rewrite.refused = true; deterministic_results.scenarios[6].scenario = S6_harmful_jump; deterministic_results.scenarios[6].broad_rewrite.preservation = 0/6; deterministic_results.scenarios[6].broad_rewrite.reasons = ["preserved_capabilities", "prediction_realised"]
 148 | 5.8        | OK              | regexcount '^\\x7c S29 \\x7c' = 1; contains ok: 'held vacuously'
 149 | 5.8        | OK              | deterministic_results.historical_replay_summary.rows = 18; deterministic_results.historical_replay_summary.narrow = 18; deterministic_results.historical_replay_summary.escalated_rows = 8; deterministic_results.historical_replay_summary.escalated_with_witness = 8; deterministic_results.historical_replay_summary.escalated_cannot_check = 0
 150 | 5.8        | OK              | contains ok: 'reported six side-condition defects'; contains ok: 'added five obligations (KS-T110…T114, le'; contains ok: '`DEFECT_FOUND` ×6'; contains ok: '`DEFECT_FOUND` ×5'
 151 | 5.8        | OK              | contains ok: 'component table keyed by `machine` while'; regexcount '^\\x7c M11 V1 \\x7c' = 7; regexcount '^\\x7c M12 V2, OCM phase G \\x7c' = 3
 152 | 5.8        | OK              | contains ok: 'seven repairs and exact rollbacks, seven'
 153 | 5.8 Table  | OK              | contains ok: 'HISTORICAL_ADOPTION_CELLS_REOPENED'; contains ok: 'PROTECTED_REEVALUATION_REQUIRED'; contains ok: 'not revalidate their scientific conclusi'
 154 | 5.8 Table  | OK              | valuecount(obligations[*].id, "KS-T96") = 1; valuecount(obligations[*].id, "KS-T98") = 1; contains ok: '| Self-statements never carry object aut'; contains ok: 'mutant_self_description_as_authority'
 155 | 5.8 Table  | OK              | contains ok: 'DESCRIPTIVE (n = 7, no pre-registered ra'; contains ok: 'NOT ATTEMPTED by design'; contains ok: '| Diagnostic accuracy on real historical'
 156 | 5.9        | OK              | deterministic_results.v2.claims.D_causal.ocm = 5; deterministic_results.v2.claims.D_causal.parent = 3; deterministic_results.v2.claims.D_causal.n = 5; deterministic_results.v2.claims.D_communication.ocm = 4; deterministic_results.v2.claims.D_communication.parent = 2; deterministic_results.v2.claims.D_communication.n = 4
 157 | 5.9        | OK              | deterministic_results.v2.summary.ocm.O1.E_transfer = 6/6; deterministic_results.v2.summary.whole_system_parent.O1.E_transfer = 0/4; count(deterministic_results.v2.E.ocm.O1) = 6; count(deterministic_results.v2.E.whole_system_parent.O1) = 4; deterministic_results.v2.E.whole_system_parent.O1.deceptive_analogy.result = ACCEPTED; deterministic_results.v2.E.whole_system_parent.O1.science_lookalike_verifier.result = TRANSFER
 158 | 5.9        | OK              | contains ok: 'M12 preserves its six-versus-four transf'
 159 | 5.9 Table  | OK              | deterministic_results.v2.claims.A_conversations.mcnemar.a_only = 20; deterministic_results.v2.claims.A_conversations.mcnemar.b_only = 0; deterministic_results.v2.claims.A_conversations.mcnemar.p_two_sided = 1.9e-06; deterministic_results.v2.claims.A_conversations.ocm = 53; deterministic_results.v2.claims.A_conversations.parent = 33; deterministic_results.v2.claims.A_conversations.n = 54; deterministic_results.v2.claims.A_conversations.terminal = OCM_RESIDUAL; note: p_two_sided in the file is 1.9073e-06 and the printed value is its two-figure rounding
 160 | 5.9 Table  | OK              | deterministic_results.v2.claims.A_post_deployment.mcnemar.a_only = 11; deterministic_results.v2.claims.A_post_deployment.mcnemar.b_only = 4; deterministic_results.v2.claims.A_post_deployment.mcnemar.p_two_sided = 0.118; deterministic_results.v2.claims.A_post_deployment.ocm = 37; deterministic_results.v2.claims.A_post_deployment.parent = 30; deterministic_results.v2.claims.A_post_deployment.n = 42; deterministic_results.v2.claims.A_post_deployment.verdict = INCONCLUSIVE
 161 | 5.9 Table  | OK              | deterministic_results.v2.claims.A_factual.ocm = 30; deterministic_results.v2.claims.A_factual.parent = 27; deterministic_results.v2.claims.A_honest_unknown.ocm = 20; deterministic_results.v2.claims.A_honest_unknown.parent = 17; deterministic_results.v2.claims.A_negative_transfer.ocm = 7; deterministic_results.v2.claims.A_negative_transfer.parent = 5; deterministic_results.v2.claims.B_enterprise.ocm = 10; deterministic_results.v2.claims.B_enterprise.parent = 10; deterministic_results.v2.claims.C_software.ocm = 10; deterministic_results.v2.claims.C_software.parent = 10; deterministic_results.v2.claims.D_selection.ocm = 4; deterministic_results.v2.claims.D_selection.parent = 4; deterministic_results.v2.claims.D_analysis.ocm = 12; deterministic_results.v2.claims.D_analysis.parent = 12; deterministic_results.v2.claims.D_proof.ocm = 8; deterministic_results.v2.claims.D_proof.parent = 8
 162 | 5.9        | OK              | deterministic_results.v2.acquisition.ocm.O1.B.cost = 12; deterministic_results.v2.acquisition.ocm.O1.C.cost = 7; deterministic_results.v2.acquisition.ocm.O1.C.route = TRANSFER; deterministic_results.v2.acquisition.whole_system_parent.O1.B.cost = 6; deterministic_results.v2.acquisition.whole_system_parent.O1.C.cost = 12; deterministic_results.v2.acquisition.ocm.O2.B.cost = 7
 163 | 5.9        | OK              | deterministic_results.v2.F.ocm.O1.stale_behaviours = 0; deterministic_results.v2.F.ocm.O1.dependents_reopened = 3; deterministic_results.v2.F.ocm.O1.unrelated_intact = 2; deterministic_results.v2.F.ocm.O2.stale_behaviours = 0; deterministic_results.v2.F.ocm.O3.stale_behaviours = 0; deterministic_results.v2.F.whole_system_parent.O1.stale_behaviours = 1; deterministic_results.v2.F.whole_system_parent.O1.knowledge.stale = true
 164 | 5.9        | OK              | deterministic_results.v2.G.ocm.O1.diagnosed = D2; deterministic_results.v2.G.ocm.O2.diagnosed = D6; deterministic_results.v2.G.ocm.O3.diagnosed = D2; deterministic_results.v2.G.ocm.O1.fault = operator_fault; deterministic_results.v2.G.ocm.O2.fault = learning_policy; deterministic_results.v2.G.ocm.O3.fault = environment_drift; deterministic_results.v2.G.whole_system_parent.O1.repaired = false
 165 | 5.9        | OK              | deterministic_results.v2.always_attempts.ocm.O1.A = 0; deterministic_results.v2.always_attempts.ocm.O1.D = 0; deterministic_results.v2.always_attempts.ocm.O1.unknown = 0; deterministic_results.v2.always_attempts.whole_system_parent.O1.A = 3; deterministic_results.v2.always_attempts.whole_system_parent.O1.D = 2
 166 | 5.9        | OK              | verdict = MATCH; contains ok: '3671aecc'
 167 | 5.9        | OK              | deterministic_results.v2.tiers.tier6_broad.inferential_residual_families = ["A_conversations"]; contains ok: 'Item exchangeability (F2)'
 168 | 5.10       | OK              | contains ok: 'leak check 8/8 clean'; deterministic_results.v3.gates.stream_leaks = 0
 169 | 5.10       | OK              | contains ok: '900959ec47e770b84f4b30df6646508bdc013f1d'; deterministic_results.stream_manifest_sha256 = "900959ec47e770b84f4b30df6646508bdc013f1d4e22d651a7be7c8c71e04b86"; deterministic_results.preregistration_sha256 = "f58d9bf578578ef24aa577789ace3808c84bae5fc86d3631dff18964cf47f2e1"
 170 | 5.10       | OK              | contains ok: 'exact two-sided sign test over the 8 lif'; contains ok: "≥ 1 family rejects in OCM's favour, none"
 171 | 5.10 Table | OK              | deterministic_results.v3.tests.A_conversations.ocm_mean = 0.9815; deterministic_results.v3.tests.A_conversations.parent_mean = 0.5972; deterministic_results.v3.tests.A_conversations.positive = 8; deterministic_results.v3.tests.A_conversations.p_two_sided = 0.0078; deterministic_results.v3.tests.A_conversations.verdict = OCM_RESIDUAL
 172 | 5.10 Table | OK              | valuecount(deterministic_results.v3.tests[*].verdict, "OCM_RESIDUAL") = 10; valuecount(deterministic_results.v3.tests[*].verdict, "TIES_ONLY") = 6; valuecount(deterministic_results.v3.tests[*].positive, "8") = 10; deterministic_results.v3.tests.A_factual.parent_mean = 0.9; deterministic_results.v3.tests.A_honest_unknown.parent_mean = 0.85; deterministic_results.v3.tests.A_post_deployment.ocm_mean = 0.881; deterministic_results.v3.tests.A_post_deployment.parent_mean = 0.7143; deterministic_results.v3.tests.A_negative_transfer.parent_mean = 0.7143; deterministic_results.v3.tests.D_causal.parent_mean = 0.6; deterministic_results.v3.tests.D_communication.parent_mean = 0.5; deterministic_results.v3.tests.E_transfer.parent_mean = 0.0; deterministic_results.v3.tests.F_integrity.parent_mean = 0.0; deterministic_results.v3.tests.G_self_repair.parent_mean = 0.0
 173 | 5.10 Table | OK              | deterministic_results.v3.tests.D_analysis.ocm_mean = 0.9167; deterministic_results.v3.tests.D_analysis.parent_mean = 0.9167; deterministic_results.v3.tests.D_analysis.n_nonzero = 0; deterministic_results.v3.tests.D_analysis.p_two_sided = 1.0; deterministic_results.v3.tests.B_enterprise.n_nonzero = 0; deterministic_results.v3.tests.C_software.n_nonzero = 0; deterministic_results.v3.tests.D_selection.n_nonzero = 0; deterministic_results.v3.tests.D_proof.n_nonzero = 0; deterministic_results.v3.tests.unknown_no_action.n_nonzero = 0
 174 | 5.10       | OK              | contains ok: 'baseline-unknown 32/48'; contains ok: 'revoked-stops 32 vs 48'
 175 | 5.10       | OK              | valuecount(deterministic_results.v3.G[*].fault, "operator_fault") = 3; valuecount(deterministic_results.v3.G[*].fault, "learning_policy") = 3; valuecount(deterministic_results.v3.G[*].fault, "environment_drift") = 2; valuecount(deterministic_results.v3.G[*].rollback_exact, "True") = 8; valuecount(deterministic_results.v3.G[*].repaired, "True") = 8; valuecount(deterministic_results.v3.G[*].diagnosis_correct, "True") = 8
 176 | 5.10       | OK              | valuecount(deterministic_results.v3.within_lifetime.A_conversations[*].verdict, "RESIDUAL_A") = 8
 177 | 5.10       | OK              | verdict = MATCH; contains ok: 'dfc94948'
 178 | 5.10       | OK              | regexcount '^\\x7c S36 \\x7c' = 1; contains ok: 'pre-registration hash field empty'
 179 | 5.10       | OK              | contains ok: 'size 1/128, power 0.43'; contains ok: 'size 1/128 per family'; contains ok: 'F ≤ 6'
 180 | 5.10       | OK              | min(deterministic_results.v3.tests.A_conversations.diffs) = 0.370; max(deterministic_results.v3.tests.A_conversations.diffs) = 0.407; min(deterministic_results.v3.tests.E_transfer.diffs) = 1.0; max(deterministic_results.v3.tests.E_transfer.diffs) = 1.0
 181 | 5.11       | OK              | contains ok: 'seed `OCM-M12-V4`'; contains ok: 'leak check 8/8'; deterministic_results.v4.gates.stream_leaks = 0; deterministic_results.stream_manifest_sha256 = "72d7d78203895035cb851cdf2abc1194d29558642f08926467dc1889d413c9a2"; deterministic_results.preregistration_sha256 = "6720f9b4ebd3b45344a669cebe25377916dac9114e60b7467633e52a46cf4eac"
 182 | 5.11       | OK              | contains ok: '10 questions true in the world but unlic'
 183 | 5.11 Table | OK              | deterministic_results.v4.tests.A_conversations.ocm_mean = 0.9815; deterministic_results.v4.tests.A_conversations.parent_mean = 0.6065; deterministic_results.v4.tests.A_conversations.positive = 8; deterministic_results.v4.tests.A_conversations.p_one_sided = 0.0039; deterministic_results.v4.tests.A_conversations.alpha = 0.05; deterministic_results.v4.tests.A_conversations.collapsed_one_coin = false; deterministic_results.v4.tests.A_conversations.role = primary
 184 | 5.11 Table | OK              | deterministic_results.v4.tests.A_post_deployment.ocm_mean = 0.881; deterministic_results.v4.tests.A_post_deployment.parent_mean = 0.7143; deterministic_results.v4.tests.A_post_deployment.role = secondary; deterministic_results.v4.tests.A_post_deployment.p_one_sided = 0.0039; deterministic_results.v4.tests.A_honest_unknown.ocm_mean = 0.9667; deterministic_results.v4.tests.A_honest_unknown.parent_mean = 0.5667; deterministic_results.v4.tests.A_honest_unknown.role = secondary; deterministic_results.v4.tests.D_causal.parent_mean = 0.6; deterministic_results.v4.tests.D_causal.role = secondary
 185 | 5.11 Table | OK              | deterministic_results.v4.tests.E_transfer.ocm_mean = 1.0; deterministic_results.v4.tests.E_transfer.parent_mean = 0.0; deterministic_results.v4.tests.E_transfer.role = secondary; deterministic_results.v4.tests.F_integrity.parent_mean = 0.0; deterministic_results.v4.tests.F_integrity.role = secondary; deterministic_results.v4.tests.G_self_repair.parent_mean = 0.0; deterministic_results.v4.tests.G_self_repair.role = secondary; deterministic_results.v4.tests.G_self_repair.p_one_sided = 0.0039
 186 | 5.11 Table | OK              | deterministic_results.v4.tests.A_factual.parent_mean = 0.9; deterministic_results.v4.tests.A_factual.role = descriptive; deterministic_results.v4.tests.A_factual.positive = 8; deterministic_results.v4.tests.A_negative_transfer.parent_mean = 0.7143; deterministic_results.v4.tests.A_negative_transfer.positive = 8; deterministic_results.v4.tests.D_communication.parent_mean = 0.5; deterministic_results.v4.tests.D_communication.positive = 8; deterministic_results.v4.tests.D_communication.verdict = "DESCRIPTIVE (not pre-registered)"
 187 | 5.11 Table | OK              | deterministic_results.v4.tests.B_enterprise.n_nonzero = 0; deterministic_results.v4.tests.C_software.n_nonzero = 0; deterministic_results.v4.tests.D_selection.n_nonzero = 0; deterministic_results.v4.tests.D_analysis.n_nonzero = 0; deterministic_results.v4.tests.D_proof.n_nonzero = 0; deterministic_results.v4.tests.unknown_no_action.n_nonzero = 0
 188 | 5.11       | OK              | min(deterministic_results.v4.scores.whole_system_parent[*].A_conversations) = 0.593; max(deterministic_results.v4.scores.whole_system_parent[*].A_conversations) = 0.611; contains ok: 'parent 0.593–0.611'
 189 | 5.11       | OK              | deterministic_results.v4.secondary_rejections = ["A_post_deployment", "A_honest_unknown", "D_causal", "E_transfer", "F_integrity", "G_self_repair"]; count(deterministic_results.v4.collapsed_one_coin_families) = 15
 190 | 5.11       | OK              | valuecount(deterministic_results.v4.G[*].fault, "operator_fault") = 3; valuecount(deterministic_results.v4.G[*].fault, "learning_policy") = 3; valuecount(deterministic_results.v4.G[*].fault, "environment_drift") = 2; valuecount(deterministic_results.v4.G[*].diagnosed, "D6") = 3; valuecount(deterministic_results.v4.G[*].rollback_exact, "True") = 8; valuecount(deterministic_results.v4.G[*].preserved, "True") = 8; sum(deterministic_results.v4.F[*].stale_behaviours) = 0; valuecount(deterministic_results.v4.F[*].dependents_reopened, "3") = 8; valuecount(deterministic_results.v4.F[*].unrelated_intact, "2") = 8; deterministic_results.v4.gates.hits = 0; deterministic_results.v4.gates.identity_chain_broken = 0
 191 | 5.11       | OK              | deterministic_results.v4.tests.A_honest_unknown.ocm_mean = 0.9667; contains ok: 'OCM 29/30 in every lifetime'; regexcount '^\\x7c S38 \\x7c' = 1; contains ok: 'is a whale a mammal'
 192 | 5.11       | OK              | verdict = MATCH; contains ok: '599ee69a'; principal.host = billy-old; replica.host = billy-laptop
 193 | 5.11       | OK              | deterministic_results.v4.decision = OCM_LIFETIME_RESIDUAL_SUPPORTED; contains ok: 'CANNOT_CHECK_MATCHED_PARENT'
 194 | 5.11       | OK              | deterministic_results.v4.tests.E_transfer.ocm_mean = 1.0; deterministic_results.v4.tests.E_transfer.parent_mean = 0.0; contains ok: 'six-versus-four'
 195 | 6          | OK              | model = qwen2.5:7b-instruct-q4_K_M; contains ok: '845dbda0ea48ed74'; contains ok: 'REFERENCE (F8)'
 196 | 6          | OK              | lifetimes[0].info.facts_in_prompt = 55; lifetimes[0].info.lessons = 12
 197 | 6          | OK              | contains ok: 'excluded from claim tiers'; contains ok: '## F8'
 198 | 6 Table 9  | OK              | deterministic_results.summary.factual_in_scope = 28/30; deterministic_results.summary.honest_unknown = 0/20; deterministic_results.summary.negative_transfer = 3/7; deterministic_results.post_deployment.acquired = 6/6; deterministic_results.post_deployment.compositional_reuse = 6/6; deterministic_results.post_deployment.retained_after_restart = 6/6; deterministic_results.post_deployment.revoked_stops = 6/6; deterministic_results.post_deployment.relearned = 5/6; deterministic_results.always_attempts = 20; deterministic_results.summary.ocm.factual = 30/30; deterministic_results.summary.matched_parent.factual = 27/30; deterministic_results.summary.ocm.unknown = 20/20; deterministic_results.summary.matched_parent.unknown = 17/20; deterministic_results.summary.ocm.negative_transfer = 7/7; deterministic_results.summary.matched_parent.negative_transfer = 5/7
 199 | 6 Table 9  | OK              | sum(lifetimes[*].summary.factual_in_scope) = 228/240; sum(lifetimes[*].summary.honest_unknown) = 0/160; sum(lifetimes[*].summary.negative_transfer) = 35/56; sum(lifetimes[*].post_deployment.acquired) = 24/48; sum(lifetimes[*].post_deployment.compositional_reuse) = 28/48; sum(lifetimes[*].post_deployment.retained_after_restart) = 30/48; sum(lifetimes[*].post_deployment.revoked_stops) = 30/48; sum(lifetimes[*].post_deployment.relearned) = 31/48; valuecount(lifetimes[*].always_attempts, "20") = 8; contains ok: '| factual in-scope | 228/240 | 240/240 |'; contains ok: '| 160/160 | 136/160 |'; contains ok: '| negative-transfer probes | 35/56 | 56/'; contains ok: '24/48 / 28/48 / 30/48 / 30/48 / 31/48 | '
 200 | 6 Table 9  | OK              | sum(lifetimes[*].summary.factual_in_scope) = 229/240; sum(lifetimes[*].summary.honest_unknown) = 7/240; sum(lifetimes[*].summary.negative_transfer) = 35/56; sum(lifetimes[*].post_deployment.acquired) = 25/48; sum(lifetimes[*].post_deployment.compositional_reuse) = 33/48; sum(lifetimes[*].post_deployment.retained_after_restart) = 35/48; sum(lifetimes[*].post_deployment.revoked_stops) = 41/48; sum(lifetimes[*].post_deployment.relearned) = 23/48; min(lifetimes[*].always_attempts) = 27; max(lifetimes[*].always_attempts) = 30; contains ok: '| factual in-scope | 229/240 | 240/240 |'; contains ok: '| 7/240 | 232/240 | 136/240 |'; contains ok: '| negative-transfer probes | 35/56 | 56/'; contains ok: '25/48 / 33/48 / 35/48 / 41/48 / 23/48 | '
 201 | 6 Table 9  | OK              | deterministic_results.v2.always_attempts.ocm.O1.A = 0; deterministic_results.v2.always_attempts.whole_system_parent.O1.A = 3; contains ok: '| 7/240 | 232/240 | 136/240 |'; contains ok: '| 160/160 | 136/160 |'; note: decision-arm V3 and V4 values are derived from honest-unknown misses per stream, (160 − 160)/8 = 0 and (160 − 136)/8 = 3 for V3, (240 − 232)/8 = 1 and (240 − 136)/8 = 13 for V4, and the paired receipts carry no always_attempts field
 202 | 6          | OK              | contains ok: 'of the 472 questions whose licensed answ'; sum(lifetimes[*].four_class.licensed) = 233; sum(lifetimes[*].four_class.unlicensed_true) = 199; sum(lifetimes[*].four_class.unlicensed_false) = 38; sum(lifetimes[*].four_class.wrong) = 2; note: 233 + 199 + 38 + 2 = 472
 203 | 6          | OK              | sum(lifetimes[*].summary.honest_unknown) = 7/240; lifetimes[1].summary.honest_unknown = 2/30; lifetimes[1].four_class.unlicensed_true = 26; lifetimes[1].four_class.unlicensed_false = 4; lifetimes[6].summary.honest_unknown = 2/30; lifetimes[6].four_class.unlicensed_true = 26; lifetimes[6].four_class.unlicensed_false = 4; note: in streams 1 and 6 the four-class grader records 26 + 4 = 30 assertions while the summary grader records 2 honest unknowns, 2 items per stream, 4 in total, the other six streams agree
 204 | 6          | OK              | contains ok: 'all twenty are false'; contains ok: 'under the truth grader the unbound arm s'
 205 | 6          | OK              | valuecount(lifetimes[*].post_deployment.acquired, "6/6") = 2; valuecount(lifetimes[*].post_deployment.acquired, "0/6") = 1
 206 | 6          | OK              | min(lifetimes[*].resources.calls) = 125; max(lifetimes[*].resources.calls) = 130; min(lifetimes[*].resources.calls) = 136; max(lifetimes[*].resources.calls) = 140
 207 | 6          | OK              | contains ok: 'differed on one post-deployment item'
 208 | 6          | OK              | deterministic_results.conversations = "NOT_MEASURED (graded by OCM surface patterns)"
 209 | 7          | OK              | regexcount '^\\x7c S\\d+ \\x7c' = 38
 210 | 7          | OK              | regexcount '^\\x7c S3[123] \\x7c' = 3; regexcount '^\\x7c S2[789] \\x7c' = 3; contains ok: 'CORRECT_DIAGNOSIS_OF_A_MISLABELLED_FAULT'; contains ok: 'PSEUDO_REPLICATION'; contains ok: 'IDENTITY_SPLIT'; contains ok: 'RULE_DEFECT'; contains ok: 'LABEL_DEFECT'; contains ok: 'CUSTODY_GAP'
 211 | 7          | OK              | regexcount '^\\x7c S17 \\x7c' = 1; regexcount '^\\x7c S14 \\x7c' = 1; contains ok: 'a regime is defined by its information c'
 212 | 7          | OK              | contains ok: 'per-source fan-out-aware background'; contains ok: 'exact PCST extraction'; contains ok: 'directed RWR arm'
 213 | 8          | OK              | regexcount '^\\*\\*MEG-\\d\\d ' = 35
 214 | 8 Table 10 | OK              | contains ok: 'obligation ids KS-T21, KS-T22, KS-T04c, '; contains ok: '## 5. Calibration performed (exact, stdl'
 215 | 8 Table 10 | OK              | contains ok: '## T11'; contains ok: 'two **runtime defects**'
 216 | 8 Table 10 | OK              | contains ok: '12/12 tests'; contains ok: '## B8'
 217 | 8 Table 10 | OK              | contains ok: '13/13 tests'; contains ok: '## C8'; count '**Tightened**' = 4
 218 | 8 Table 10 | OK              | contains ok: '12/12 tests'; contains ok: '## D8'
 219 | 8 Table 10 | OK              | contains ok: '128 000'; contains ok: '13/13 tests'; contains ok: '## E8'; contains ok: 'R1–R3'
 220 | 8 Table 10 | OK              | contains ok: '14/14 tests'; contains ok: '## F8'
 221 | 8 Table 10 | OK              | contains ok: '13/13 tests'; contains ok: 'batches 1–7 together 89/89'; contains ok: 'OPEN: none'; note: the file is read from the ORION-V2 origin/main branch, which is the merge evidence (pull request 349, merged 2026-09-05)
 222 | 8          | OK              | regexcount '^    Intake\\(' = 22; count 'IntakeStatus.DEFECT_FOUND)' = 13; count 'IntakeStatus.DISCHARGED)' = 3; count 'IntakeStatus.OPEN)' = 6; regexcount '^    Export\\(' = 2
 223 | 8          | OK              | contains ok: 'two **runtime defects**'; regexcount '^\\x7c S2[01] \\x7c' = 2; regexcount '^\\x7c S28 \\x7c' = 1; contains ok: '`DEFECT_FOUND` ×6'; contains ok: '`DEFECT_FOUND` ×5 + `CAVEAT` ×1'; note: 2 + 1 + 1 + 1 + 6 + 5 = 16
 224 | 8          | OK              | valuecount(obligations[*].id, "KS-T116") = 1; valuecount(obligations[*].id, "KS-T117") = 1; valuecount(obligations[*].status, "PROVED_WITH_CLAUSE") = 1; count(obligations) = 9
 225 | 8          | OK              | contains ok: '## F3 · P3 · observational limits of sel'; contains ok: '## F4 · P4 · false-structural-alarm lemm'; regexcount '^    Export\\(' = 2
 226 | 8          | OK              | contains ok: 'J5 uniform ceiling IMPOSSIBLE'; contains ok: '## G9'; contains ok: '## G6'; contains ok: '## G3'
 227 | 8          | OK              | contains ok: 'the level is (tower, registered class), '; contains ok: 'MDL rule is executable'
 228 | 9          | OK              | deterministic_results.external_benchmarks."WorkArena++" = "CANNOT_CHECK (no network/container runtime; no LLM agent in the mechanism arm)"; host = "billy-laptop (local Ollama, no network)"
 229 | 9          | OK              | count(deterministic_results.external_benchmarks) = 5; count(deterministic_results.external) = 5; deterministic_results.external."miniF2F/Lean4" = "CANNOT_CHECK (no Lean toolchain)"
 230 | 9          | OK              | contains ok: 'understood intent; answer meaning correc'; contains ok: 'appropriately uncertain; coherent with p'; contains ok: 'OCM-ALPHA-HUMAN-EVAL-20260905'
 231 | 9          | OK              | deterministic_results.v2.claims.D_selection.n = 4; deterministic_results.v2.claims.D_communication.n = 4; deterministic_results.v2.claims.D_analysis.n = 12
 232 | 9          | OK              | contains ok: 'Derived evidence serialized only its low'; contains ok: 'A population coverage certificate promot'; contains ok: 'A derived bridge was cited by raw record'
 233 | 9          | OK              | contains ok: 'M11_ENGINEERING_REVALIDATION__HISTORICAL'; contains ok: 'M12_ENGINEERING_REVALIDATION__PROTECTED_'; contains ok: 'they do not renew the old protected-eval'
 234 | 9          | OK              | contains ok: 'M12 deterministic block'; contains ok: '251/251'; contains ok: '42/42'
 235 | Methods    | OK              | principal.host = billy-old; replica.host = billy-laptop; principal.host = billy-old; replica.host = billy-laptop
 236 | Methods    | OK              | contains ok: 'temperature 0, fixed seed'
 237 | Data       | OK              | contains ok: 'CC BY 4.0'; contains ok: 'CC BY-SA 4.0'
 238 | Data       | OK              | filecount = 6
 239 | Data       | OK              | model = qwen2.5:7b-instruct-q4_K_M; model_digest = 845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e
 240 | Data       | OK              | git_head_at_generation = UNKNOWN; git_head_at_generation = UNKNOWN; git_head_at_generation = UNKNOWN; git_head_at_generation = UNKNOWN; git_head_at_generation = UNKNOWN
 241 | Data       | OK              | contains ok: 'PHRASE_MISSING'
 242 | 4          | OK              | contains ok: '65/256, 11/32, 1/2, 1/4, 1/2'; contains ok: 'at `n = 54`'
